tanggal,region,demand_actual,supply_actual
2026-05-27,SOR 2 - Sumatera Bagian Selatan,283.2,307.25
2026-05-28,SOR 2 - Sumatera Bagian Selatan,286.62,284.01
2026-05-29,SOR 2 - Sumatera Bagian Selatan,310.44,315.02
2026-05-30,SOR 2 - Sumatera Bagian Selatan,280.65,264.47
2026-05-31,SOR 2 - Sumatera Bagian Selatan,293.13,256.85
2026-05-01,SOR 3 - Jawa Bagian Barat,673.47,700.09
2026-05-02,SOR 3 - Jawa Bagian Barat,558.96,562.04
2026-05-03,SOR 3 - Jawa Bagian Barat,603.14,564.61
2026-05-04,SOR 3 - Jawa Bagian Barat,589.86,634.02
2026-05-05,SOR 3 - Jawa Bagian Barat,610.02,647.59
2026-05-06,SOR 3 - Jawa Bagian Barat,616.37,682.65
2026-05-07,SOR 3 - Jawa Bagian Barat,622.44,623.35
2026-05-08,SOR 3 - Jawa Bagian Barat,686.94,594.88
2026-05-09,SOR 3 - Jawa Bagian Barat,611.73,625.92
2026-05-10,SOR 3 - Jawa Bagian Barat,538.91,590.56
2026-05-11,SOR 3 - Jawa Bagian Barat,666.69,661.12
2026-05-12,SOR 3 - Jawa Bagian Barat,607.44,594.45
2026-05-13,SOR 3 - Jawa Bagian Barat,678.43,646.82
2026-05-14,SOR 3 - Jawa Bagian Barat,668.2,649.01
2026-05-15,SOR 3 - Jawa Bagian Barat,631.61,645.97
2026-05-16,SOR 3 - Jawa Bagian Barat,618.4,565.15
2026-05-17,SOR 3 - Jawa Bagian Barat,681.89,603.74
2026-05-18,SOR 3 - Jawa Bagian Barat,613.04,661.37
2026-05-19,SOR 3 - Jawa Bagian Barat,622.34,666.16
2026-05-20,SOR 3 - Jawa Bagian Barat,708.3,615.32
2026-05-21,SOR 3 - Jawa Bagian Barat,701.12,655.4
2026-05-22,SOR 3 - Jawa Bagian Barat,696.09,703.5
2026-05-23,SOR 3 - Jawa Bagian Barat,600.92,567.82
2026-05-24,SOR 3 - Jawa Bagian Barat,575.73,566.39
2026-05-25,SOR 3 - Jawa Bagian Barat,662.01,655.55
2026-05-26,SOR 3 - Jawa Bagian Barat,676.79,671.71
2026-05-27,SOR 3 - Jawa Bagian Barat,666.87,692.36
2026-05-28,SOR 3 - Jawa Bagian Barat,656.4,733.51
2026-05-29,SOR 3 - Jawa Bagian Barat,692.64,619.64
2026-05-30,SOR 3 - Jawa Bagian Barat,571.95,611.31
2026-05-31,SOR 3 - Jawa Bagian Barat,606.42,619.28
2026-05-01,SOR 4 - Jawa Bagian Timur,536.56,507.96
2026-05-02,SOR 4 - Jawa Bagian Timur,449.23,427.24
2026-05-03,SOR 4 - Jawa Bagian Timur,463.7,494.09
2026-05-04,SOR 4 - Jawa Bagian Timur,529.0,476.6
2026-05-05,SOR 4 - Jawa Bagian Timur,528.07,522.76
2026-05-06,SOR 4 - Jawa Bagian Timur,491.58,516.77
2026-05-07,SOR 4 - Jawa Bagian Timur,525.06,480.96
2026-05-08,SOR 4 - Jawa Bagian Timur,536.05,529.16
2026-05-09,SOR 4 - Jawa Bagian Timur,520.01,502.34
2026-05-10,SOR 4 - Jawa Bagian Timur,434.35,447.03
2026-05-11,SOR 4 - Jawa Bagian Timur,543.06,529.32
2026-05-12,SOR 4 - Jawa Bagian Timur,543.56,623.31
2026-05-13,SOR 4 - Jawa Bagian Timur,546.02,547.72
2026-05-14,SOR 4 - Jawa Bagian Timur,559.93,534.66
2026-05-15,SOR 4 - Jawa Bagian Timur,516.01,538.16
2026-05-16,SOR 4 - Jawa Bagian Timur,458.3,469.38
2026-05-17,SOR 4 - Jawa Bagian Timur,468.82,478.76
2026-05-18,SOR 4 - Jawa Bagian Timur,609.57,466.11
2026-05-19,SOR 4 - Jawa Bagian Timur,553.08,473.73
2026-05-20,SOR 4 - Jawa Bagian Timur,513.04,549.87
2026-05-21,SOR 4 - Jawa Bagian Timur,532.31,489.69
2026-05-22,SOR 4 - Jawa Bagian Timur,505.53,539.39
2026-05-23,SOR 4 - Jawa Bagian Timur,463.02,485.25
2026-05-24,SOR 4 - Jawa Bagian Timur,490.64,461.4
2026-05-25,SOR 4 - Jawa Bagian Timur,607.12,539.59
2026-05-26,SOR 4 - Jawa Bagian Timur,461.7,527.56
2026-05-27,SOR 4 - Jawa Bagian Timur,509.92,546.7
2026-05-28,SOR 4 - Jawa Bagian Timur,505.85,520.11
2026-05-29,SOR 4 - Jawa Bagian Timur,551.76,548.06
2026-05-30,SOR 4 - Jawa Bagian Timur,449.82,473.0
2026-05-31,SOR 4 - Jawa Bagian Timur,475.67,464.53
2026-05-01,SOR 5 - Kalimantan,432.96,409.72
2026-05-02,SOR 5 - Kalimantan,312.11,390.38
2026-05-03,SOR 5 - Kalimantan,413.94,393.49
2026-05-04,SOR 5 - Kalimantan,335.52,389.54
2026-05-05,SOR 5 - Kalimantan,419.48,384.56
2026-05-06,SOR 5 - Kalimantan,395.15,420.53
2026-05-07,SOR 5 - Kalimantan,354.4,400.89
2026-05-08,SOR 5 - Kalimantan,285.34,378.12
2026-05-09,SOR 5 - Kalimantan,344.73,340.9
2026-05-10,SOR 5 - Kalimantan,401.62,336.88
2026-05-11,SOR 5 - Kalimantan,370.48,407.01
2026-05-12,SOR 5 - Kalimantan,427.28,369.8
2026-05-13,SOR 5 - Kalimantan,419.31,404.89
2026-05-14,SOR 5 - Kalimantan,355.34,416.12
2026-05-15,SOR 5 - Kalimantan,391.12,391.01
2026-05-16,SOR 5 - Kalimantan,356.77,364.09
2026-05-17,SOR 5 - Kalimantan,358.42,389.59
2026-05-18,SOR 5 - Kalimantan,433.83,376.87
2026-05-19,SOR 5 - Kalimantan,450.61,360.12
2026-05-20,SOR 5 - Kalimantan,382.43,421.47
2026-05-21,SOR 5 - Kalimantan,395.78,392.8
2026-05-22,SOR 5 - Kalimantan,381.48,396.3
2026-05-23,SOR 5 - Kalimantan,339.36,396.23
2026-05-24,SOR 5 - Kalimantan,368.09,359.56
2026-05-25,SOR 5 - Kalimantan,415.81,416.67
2026-05-26,SOR 5 - Kalimantan,413.58,424.79
2026-05-27,SOR 5 - Kalimantan,364.69,396.62
2026-05-28,SOR 5 - Kalimantan,412.35,425.1
2026-05-29,SOR 5 - Kalimantan,389.67,413.65
2026-05-30,SOR 5 - Kalimantan,397.74,364.13
2026-05-31,SOR 5 - Kalimantan,376.16,373.83
